time,symbol,decision,confidence,entry,sl,tp,atr,risk_amount,lot_units,outcome,pnl_r,pnl_money,balance,reason
2024-02-15 11:00:00,EURUSD,SELL,85,1.08197,1.08607,1.0717,0.00205,101.73,24762.48,OPEN,0.41,41.36,10214.23,Alignement SELL H1/H4 + VWAP/MACD
2024-02-16 10:00:00,EURUSD,SELL,75,1.08095,1.0844,1.07231,0.00173,102.14,29580.8,LOSS,-1.0,-102.14,10112.09,Alignement SELL H1/H4 + VWAP/MACD
2024-02-17 06:00:00,EURUSD,BUY,95,1.08354,1.07956,1.0935,0.00199,101.12,25395.02,OPEN,0.08,8.08,10120.17,Alignement BUY H1/H4 + VWAP/MACD
2024-02-18 08:00:00,EURUSD,SELL,95,1.08085,1.08519,1.07001,0.00217,101.2,23322.9,OPEN,-0.43,-43.98,10076.19,Alignement SELL H1/H4 + VWAP/MACD
2024-02-19 06:00:00,EURUSD,SELL,90,1.08198,1.08625,1.07131,0.00214,100.76,23595.1,OPEN,0.22,21.8,10097.99,Alignement SELL H1/H4 + VWAP/MACD
2024-02-20 07:00:00,EURUSD,BUY,90,1.08426,1.08024,1.0943,0.00201,100.98,25134.81,OPEN,-0.09,-9.35,10088.64,Alignement BUY H1/H4 + VWAP/MACD
2024-02-21 07:00:00,EURUSD,BUY,85,1.08536,1.08106,1.09611,0.00215,100.89,23460.55,OPEN,-0.53,-53.41,10035.23,Alignement BUY H1/H4 + VWAP/MACD
2024-02-22 06:00:00,EURUSD,BUY,85,1.08462,1.07995,1.0963,0.00234,100.35,21479.84,OPEN,-0.03,-3.38,10031.85,Alignement BUY H1/H4 + VWAP/MACD
2024-02-23 07:00:00,EURUSD,BUY,90,1.08371,1.0793,1.09473,0.0022,100.32,22757.19,OPEN,-0.84,-84.33,9947.52,Alignement BUY H1/H4 + VWAP/MACD
2024-02-24 06:00:00,EURUSD,SELL,95,1.07973,1.08367,1.06986,0.00197,99.48,25196.31,OPEN,0.27,27.3,9974.81,Alignement SELL H1/H4 + VWAP/MACD
2024-02-25 12:00:00,EURUSD,BUY,90,1.08247,1.07908,1.09096,0.0017,99.75,29389.71,OPEN,0.3,30.32,10005.14,Alignement BUY H1/H4 + VWAP/MACD
2024-02-26 07:00:00,EURUSD,SELL,80,1.08201,1.08544,1.07346,0.00171,100.05,29230.63,LOSS,-1.0,-100.05,9905.08,Alignement SELL H1/H4 + VWAP/MACD
2024-02-27 06:00:00,EURUSD,BUY,85,1.088,1.08403,1.09791,0.00198,99.05,24987.26,OPEN,0.49,48.35,9953.43,Alignement BUY H1/H4 + VWAP/MACD
2024-02-28 06:00:00,EURUSD,BUY,85,1.09074,1.08673,1.10078,0.00201,99.53,24794.48,OPEN,0.3,29.98,9983.41,Alignement BUY H1/H4 + VWAP/MACD
2024-02-29 08:00:00,EURUSD,BUY,75,1.09384,1.0894,1.10496,0.00222,99.83,22450.11,OPEN,0.2,19.6,10003.01,Alignement BUY H1/H4 + VWAP/MACD
2024-03-01 06:00:00,EURUSD,BUY,75,1.09485,1.09057,1.10556,0.00214,100.03,23352.68,OPEN,-0.27,-27.29,9975.71,Alignement BUY H1/H4 + VWAP/MACD
2024-03-03 11:00:00,EURUSD,SELL,90,1.0828,1.08655,1.07342,0.00188,99.76,26599.0,OPEN,1.05,105.15,10080.86,Alignement SELL H1/H4 + VWAP/MACD
2024-03-04 08:00:00,EURUSD,SELL,75,1.07624,1.08049,1.06561,0.00213,100.81,23705.52,OPEN,0.52,51.94,10132.8,Alignement SELL H1/H4 + VWAP/MACD
2024-03-05 06:00:00,EURUSD,SELL,85,1.07353,1.07774,1.063,0.00211,101.33,24067.75,OPEN,0.59,59.6,10192.4,Alignement SELL H1/H4 + VWAP/MACD
2024-03-09 06:00:00,EURUSD,BUY,95,1.08342,1.07901,1.09442,0.0022,101.92,23151.46,OPEN,0.57,58.44,10250.84,Alignement BUY H1/H4 + VWAP/MACD
2024-03-10 08:00:00,EURUSD,BUY,85,1.08531,1.08137,1.09517,0.00197,102.51,26007.06,OPEN,0.07,6.83,10257.67,Alignement BUY H1/H4 + VWAP/MACD
2024-03-12 09:00:00,EURUSD,SELL,90,1.07255,1.07685,1.06177,0.00215,102.58,23806.87,OPEN,0.35,35.41,10293.07,Alignement SELL H1/H4 + VWAP/MACD
2024-03-13 06:00:00,EURUSD,SELL,85,1.07056,1.07447,1.06077,0.00196,102.93,26295.96,OPEN,-0.16,-15.99,10277.09,Alignement SELL H1/H4 + VWAP/MACD
2024-03-14 07:00:00,EURUSD,SELL,85,1.07005,1.07333,1.06183,0.00164,102.77,31263.44,LOSS,-1.0,-102.77,10174.32,Alignement SELL H1/H4 + VWAP/MACD
2024-03-17 12:00:00,EURUSD,BUY,90,1.08123,1.07707,1.09163,0.00208,101.74,24454.82,OPEN,0.22,22.55,10196.87,Alignement BUY H1/H4 + VWAP/MACD
2024-03-18 11:00:00,EURUSD,BUY,85,1.08211,1.07769,1.09316,0.00221,101.97,23075.23,OPEN,-0.36,-36.53,10160.34,Alignement BUY H1/H4 + VWAP/MACD
2024-03-19 11:00:00,EURUSD,BUY,75,1.08092,1.07663,1.09162,0.00214,101.6,23730.04,OPEN,0.2,20.52,10180.86,Alignement BUY H1/H4 + VWAP/MACD
2024-03-20 10:00:00,EURUSD,BUY,85,1.08403,1.08029,1.09338,0.00187,101.81,27223.14,LOSS,-1.0,-101.81,10079.05,Alignement BUY H1/H4 + VWAP/MACD
2024-03-21 07:00:00,EURUSD,SELL,90,1.07862,1.08312,1.06738,0.00225,100.79,22415.09,OPEN,0.72,72.99,10152.04,Alignement SELL H1/H4 + VWAP/MACD
2024-03-22 06:00:00,EURUSD,SELL,85,1.07506,1.07876,1.0658,0.00185,101.52,27412.93,OPEN,0.58,58.46,10210.49,Alignement SELL H1/H4 + VWAP/MACD
2024-03-23 06:00:00,EURUSD,SELL,95,1.07144,1.07544,1.06146,0.002,102.1,25564.41,OPEN,-0.28,-28.91,10181.58,Alignement SELL H1/H4 + VWAP/MACD
2024-03-24 06:00:00,EURUSD,SELL,90,1.06786,1.07242,1.05647,0.00228,101.82,22344.6,OPEN,-0.56,-56.8,10124.78,Alignement SELL H1/H4 + VWAP/MACD
2024-03-26 10:00:00,EURUSD,BUY,90,1.08252,1.07838,1.09286,0.00207,101.25,24470.32,OPEN,0.4,40.11,10164.89,Alignement BUY H1/H4 + VWAP/MACD
2024-03-27 06:00:00,EURUSD,BUY,85,1.08589,1.0823,1.09485,0.00179,101.65,28341.23,OPEN,0.01,0.72,10165.61,Alignement BUY H1/H4 + VWAP/MACD
2024-03-30 09:00:00,EURUSD,SELL,75,1.07026,1.07398,1.06098,0.00186,101.66,27381.01,OPEN,0.22,22.43,10188.04,Alignement SELL H1/H4 + VWAP/MACD
2024-03-31 07:00:00,EURUSD,SELL,75,1.06705,1.07046,1.05853,0.0017,101.88,29884.43,WIN,1.13,115.26,10303.29,Alignement SELL H1/H4 + VWAP/MACD
2024-04-01 06:00:00,EURUSD,SELL,85,1.06384,1.06816,1.05303,0.00216,103.03,23824.73,OPEN,0.64,66.2,10369.5,Alignement SELL H1/H4 + VWAP/MACD
2024-04-06 06:00:00,EURUSD,BUY,75,1.08326,1.0789,1.09415,0.00218,103.69,23799.23,OPEN,-0.41,-42.01,10327.48,Alignement BUY H1/H4 + VWAP/MACD
2024-04-07 06:00:00,EURUSD,BUY,95,1.0827,1.07881,1.09245,0.00195,103.27,26494.26,OPEN,-0.52,-53.39,10274.1,Alignement BUY H1/H4 + VWAP/MACD
2024-04-09 08:00:00,EURUSD,SELL,85,1.06972,1.07324,1.06091,0.00176,102.74,29169.73,OPEN,0.51,52.0,10326.09,Alignement SELL H1/H4 + VWAP/MACD
2024-04-12 06:00:00,EURUSD,SELL,85,1.06318,1.06748,1.05241,0.00215,103.26,23977.49,OPEN,0.04,4.31,10330.4,Alignement SELL H1/H4 + VWAP/MACD
2024-04-13 08:00:00,EURUSD,SELL,90,1.06285,1.06663,1.05341,0.00189,103.3,27356.9,OPEN,-0.64,-66.06,10264.34,Alignement SELL H1/H4 + VWAP/MACD
2024-04-14 11:00:00,EURUSD,SELL,90,1.06218,1.06573,1.05333,0.00177,102.64,28984.52,OPEN,0.92,93.95,10358.29,Alignement SELL H1/H4 + VWAP/MACD
2024-04-15 06:00:00,EURUSD,SELL,85,1.05985,1.06375,1.05009,0.00195,103.58,26541.44,OPEN,0.08,8.28,10366.58,Alignement SELL H1/H4 + VWAP/MACD
2024-04-16 07:00:00,EURUSD,SELL,75,1.05596,1.06002,1.0458,0.00203,103.67,25521.09,OPEN,0.25,26.25,10392.82,Alignement SELL H1/H4 + VWAP/MACD
2024-04-17 06:00:00,EURUSD,SELL,90,1.05173,1.05623,1.04049,0.00225,103.93,23106.84,OPEN,-0.21,-21.35,10371.47,Alignement SELL H1/H4 + VWAP/MACD
2024-04-18 06:00:00,EURUSD,SELL,85,1.04966,1.05336,1.04042,0.00185,103.71,28064.13,OPEN,0.29,30.57,10402.04,Alignement SELL H1/H4 + VWAP/MACD
2024-04-19 14:00:00,EURUSD,SELL,75,1.04434,1.04837,1.03428,0.00201,104.02,25852.52,OPEN,-0.26,-27.04,10375.0,Alignement SELL H1/H4 + VWAP/MACD
2024-04-25 10:00:00,EURUSD,SELL,90,1.05155,1.05683,1.03837,0.00264,103.75,19679.53,OPEN,-0.02,-2.31,10372.7,Alignement SELL H1/H4 + VWAP/MACD
2024-04-27 06:00:00,EURUSD,SELL,85,1.04207,1.04554,1.0334,0.00173,103.73,29917.16,OPEN,-0.13,-12.99,10359.71,Alignement SELL H1/H4 + VWAP/MACD
2024-04-28 11:00:00,EURUSD,SELL,75,1.03948,1.04299,1.03071,0.00175,103.6,29537.82,OPEN,0.6,61.64,10421.35,Alignement SELL H1/H4 + VWAP/MACD
2024-04-29 06:00:00,EURUSD,SELL,85,1.0363,1.04036,1.02614,0.00203,104.21,25659.66,OPEN,-0.01,-1.1,10420.25,Alignement SELL H1/H4 + VWAP/MACD
2024-04-30 06:00:00,EURUSD,SELL,80,1.03503,1.03913,1.0248,0.00205,104.2,25447.9,LOSS,-1.0,-104.2,10316.05,Alignement SELL H1/H4 + VWAP/MACD
2024-05-03 06:00:00,EURUSD,SELL,90,1.04224,1.0456,1.03386,0.00168,103.16,30752.87,OPEN,0.38,39.23,10355.28,Alignement SELL H1/H4 + VWAP/MACD
2024-05-04 06:00:00,EURUSD,SELL,85,1.04131,1.04535,1.03121,0.00202,103.55,25642.03,OPEN,0.64,66.57,10421.86,Alignement SELL H1/H4 + VWAP/MACD
